pool_id,source_scheme_id,topsis_score,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16
P0011,S1311,0.582330452218,0,0.000000000000,0.000000000000,4.000000000000,486.363154922758,73.129949675653,0.127770729985,750.690549743037,0.785256677252,0.609790613788,0.305489754373,177.200982514870,3.562500000000,杭州市、龙港市、武义县、江山市,宁波市、乐清市、浦江县、德清县,温州市、临海市、义乌市、长兴县,嘉兴市、泰顺县、岱山县、景宁畲族自治县,湖州市、桐庐县、东阳市、缙云县,绍兴市、仙居县、嵊泗县、安吉县,金华市、永嘉县、玉环市、遂昌县,衢州市、文成县、兰溪市、象山县,舟山市、瑞安市、青田县、开化县,台州市、嵊州市、磐安县、龙泉市,丽水市、建德市、永康市、龙游县,海宁市、淳安县、新昌县、常山县,平湖市、平阳县、庆元县、宁海县,嘉善县、苍南县、三门县、松阳县,桐乡市、天台县、诸暨市、余姚市,海盐县、温岭市、云和县、慈溪市
P0012,S0900,0.581779764927,0,0.000000000000,0.000000000000,4.000000000000,628.995878166651,74.144864962991,0.133274600217,768.463811080233,0.791703840988,0.585116689735,0.372658999246,176.643341374073,3.437500000000,杭州市、兰溪市、三门县、文成县,宁波市、岱山县、温岭市、安吉县,温州市、海盐县、余姚市、常山县,嘉兴市、磐安县、玉环市、长兴县,湖州市、缙云县、新昌县、桐庐县,绍兴市、庆元县、象山县、瑞安市,金华市、嵊泗县、仙居县、泰顺县,衢州市、义乌市、诸暨市、龙港市,舟山市、青田县、开化县、平阳县,台州市、平湖市、宁海县、德清县,丽水市、武义县、临海市、乐清市,遂昌县、海宁市、龙游县、建德市,景宁畲族自治县、桐乡市、嵊州市、江山市,龙泉市、东阳市、天台县、淳安县,松阳县、嘉善县、永康市、苍南县,云和县、浦江县、慈溪市、永嘉县
P0013,S0458,0.581533364276,0,0.000000000000,0.000000000000,4.000000000000,654.728082872626,92.347422424736,0.153290695530,739.176211614232,0.763887941530,0.566985759506,0.288382530917,182.229950786390,3.437500000000,杭州市、泰顺县、德清县、江山市,宁波市、嵊州市、青田县、平湖市,温州市、永康市、云和县、常山县,嘉兴市、温岭市、磐安县、遂昌县,湖州市、瑞安市、缙云县、宁海县,绍兴市、龙港市、松阳县、海宁市,金华市、建德市、庆元县、嘉善县,衢州市、乐清市、龙泉市、慈溪市,舟山市、新昌县、义乌市、龙游县,台州市、永嘉县、武义县、开化县,丽水市、文成县、东阳市、海盐县,仙居县、苍南县、景宁畲族自治县、桐乡市,天台县、淳安县、安吉县、象山县,临海市、诸暨市、长兴县、嵊泗县,玉环市、桐庐县、兰溪市、余姚市,三门县、平阳县、浦江县、岱山县
P0014,S2556,0.578634263737,0,0.000000000000,0.000000000000,4.000000000000,725.927680682931,89.040313099720,0.146550232081,770.056956483417,0.794828725307,0.597306238341,0.374756286625,175.768217972402,3.250000000000,杭州市、仙居县、德清县、遂昌县,宁波市、东阳市、海宁市、桐庐县,温州市、天台县、开化县、庆元县,嘉兴市、苍南县、安吉县、余姚市,湖州市、龙港市、象山县、缙云县,绍兴市、永康市、龙游县、松阳县,金华市、诸暨市、常山县、慈溪市,衢州市、平阳县、嘉善县、景宁畲族自治县,舟山市、武义县、平湖市、宁海县,台州市、兰溪市、长兴县、岱山县,丽水市、温岭市、海盐县、淳安县,文成县、临海市、义乌市、云和县,永嘉县、磐安县、桐乡市、建德市,瑞安市、浦江县、新昌县、青田县,乐清市、三门县、嵊州市、嵊泗县,泰顺县、玉环市、江山市、龙泉市
P0015,S0532,0.578514198816,0,0.000000000000,0.000000000000,4.000000000000,608.979118713313,78.689251116576,0.142968293341,748.550022666270,0.741426694137,0.569586955979,0.323476637332,183.200124310352,3.437500000000,杭州市、龙泉市、永康市、苍南县,宁波市、海盐县、磐安县、文成县,温州市、青田县、武义县、桐庐县,嘉兴市、开化县、长兴县、玉环市,湖州市、江山市、庆元县、温岭市,绍兴市、遂昌县、兰溪市、三门县,金华市、嘉善县、永嘉县、新昌县,衢州市、平湖市、德清县、建德市,舟山市、桐乡市、龙港市、临海市,台州市、龙游县、乐清市、嵊泗县,丽水市、安吉县、东阳市、淳安县,海宁市、常山县、瑞安市、诸暨市,慈溪市、缙云县、义乌市、天台县,宁海县、松阳县、泰顺县、仙居县,余姚市、景宁畲族自治县、浦江县、岱山县,象山县、云和县、平阳县、嵊州市
P0016,S0912,0.578288469506,0,0.000000000000,0.000000000000,4.000000000000,588.371574428130,79.291325320592,0.138209383552,746.005539434882,0.768710681240,0.573491130728,0.333018061540,178.912906696721,3.500000000000,杭州市、云和县、苍南县、常山县,宁波市、乐清市、三门县、新昌县,温州市、景宁畲族自治县、义乌市、开化县,嘉兴市、宁海县、武义县、临海市,湖州市、象山县、泰顺县、嵊泗县,绍兴市、遂昌县、平阳县、仙居县,金华市、青田县、桐庐县、龙游县,衢州市、龙泉市、永康市、嵊州市,舟山市、慈溪市、永嘉县、长兴县,台州市、松阳县、岱山县、德清县,丽水市、龙港市、建德市、玉环市,海宁市、缙云县、兰溪市、天台县,平湖市、庆元县、东阳市、诸暨市,海盐县、余姚市、浦江县、温岭市,嘉善县、文成县、磐安县、安吉县,桐乡市、瑞安市、淳安县、江山市
P0017,S1305,0.577735679569,0,0.000000000000,0.000000000000,4.000000000000,776.241512555367,99.863335176150,0.161281595819,764.200630357971,0.770330140401,0.616537753182,0.348085845515,182.076271540812,3.375000000000,杭州市、仙居县、浦江县、德清县,宁波市、苍南县、青田县、嵊州市,温州市、临海市、义乌市、常山县,嘉兴市、松阳县、宁海县、岱山县,湖州市、永嘉县、永康市、桐庐县,绍兴市、龙港市、兰溪市、嵊泗县,金华市、瑞安市、庆元县、龙游县,衢州市、三门县、缙云县、长兴县,舟山市、玉环市、慈溪市、建德市,台州市、泰顺县、东阳市、开化县,丽水市、乐清市、武义县、诸暨市,桐乡市、天台县、遂昌县、江山市,平湖市、文成县、余姚市、淳安县,嘉善县、云和县、磐安县、新昌县,海盐县、平阳县、景宁畲族自治县、象山县,海宁市、温岭市、龙泉市、安吉县
P0018,S0141,0.576760234218,0,0.000000000000,0.000000000000,4.000000000000,395.607639816592,70.995511330876,0.127460590512,764.092150806813,0.809968909887,0.603790096000,0.378199387658,171.905486047383,3.312500000000,杭州市、海盐县、诸暨市、江山市,宁波市、兰溪市、青田县、长兴县,温州市、浦江县、新昌县、建德市,嘉兴市、武义县、龙泉市、苍南县,湖州市、三门县、松阳县、瑞安市,绍兴市、慈溪市、临海市、永嘉县,金华市、余姚市、缙云县、开化县,衢州市、象山县、景宁畲族自治县、桐庐县,舟山市、桐乡市、安吉县、淳安县,台州市、磐安县、德清县、常山县,丽水市、嘉善县、嵊州市、文成县,岱山县、宁海县、温岭市、泰顺县,东阳市、平湖市、庆元县、龙游县,永康市、玉环市、遂昌县、龙港市,嵊泗县、仙居县、云和县、乐清市,义乌市、海宁市、天台县、平阳县
P0019,S1088,0.576637226686,0,0.000000000000,0.000000000000,4.000000000000,401.507129435399,71.686410556824,0.114417300266,761.943041479304,0.778607083341,0.564327695834,0.373358403982,169.908269738478,3.250000000000,杭州市、磐安县、景宁畲族自治县、嘉善县,宁波市、文成县、云和县、新昌县,温州市、嵊泗县、松阳县、临海市,嘉兴市、桐庐县、慈溪市、德清县,湖州市、永嘉县、遂昌县、嵊州市,绍兴市、乐清市、余姚市、温岭市,金华市、泰顺县、庆元县、玉环市,衢州市、岱山县、象山县、海宁市,舟山市、义乌市、龙泉市、长兴县,台州市、浦江县、宁海县、海盐县,丽水市、淳安县、兰溪市、天台县,开化县、平阳县、青田县、仙居县,龙游县、东阳市、缙云县、三门县,瑞安市、建德市、安吉县、平湖市,江山市、龙港市、武义县、诸暨市,常山县、苍南县、永康市、桐乡市
P0020,S0870,0.575734285652,0,0.000000000000,0.000000000000,4.000000000000,770.250822243468,104.476296360520,0.174693911826,760.325430054828,0.781096021929,0.606390119260,0.354391666766,186.155117385429,3.562500000000,杭州市、景宁畲族自治县、龙港市、嵊州市,宁波市、三门县、文成县、嘉善县,温州市、青田县、余姚市、桐乡市,嘉兴市、浦江县、乐清市、淳安县,湖州市、磐安县、慈溪市、新昌县,绍兴市、永康市、苍南县、开化县,金华市、天台县、瑞安市、海盐县,衢州市、临海市、象山县、岱山县,舟山市、缙云县、桐庐县、海宁市,台州市、云和县、平阳县、建德市,丽水市、玉环市、宁海县、龙游县,松阳县、温岭市、武义县、嵊泗县,安吉县、东阳市、泰顺县、江山市,长兴县、遂昌县、永嘉县、常山县,德清县、庆元县、义乌市、诸暨市,龙泉市、仙居县、兰溪市、平湖市
