市县名称,土地面积 (平方公里),年末常住人口 (万人),生产总值 （亿元,第一产业,第二产业,第三产业,工业,人均生产总值 (元),社会消费品零售总额 （亿元）,财政总收入 (亿元),一般公共预算收入 （亿元）,一般公共预算支出 （亿元,住户存款年末余额 (亿元),城镇居民人均可支配收入 (元),农村居民人均可支配收入 (元)
奉化区,1268,58.86,960.40,36.83,577.53,346.04,521.27,163473,187.61,132.44,86.89,108.87,702.49,70625,43651
象山县,1382,57.71,770.15,100.11,293.02,377.02,220.89,133590,259.79,109.43,64.68,114.69,593.82,72676,44115
宁海县,1843,71.00,1001.17,55.68,484.16,461.33,430.54,141109,343.61,109.40,68.34,104.15,616.54,75559,44800
余姚市,1501,126.46,1571.06,52.63,906.57,611.86,850.36,124244,501.60,231.76,132.86,155.49,1878.92,77044,48669
慈溪市,1361,187.19,2639.45,64.17,1558.93,1016.35,1433.98,141261,772.18,393.76,221.71,254.35,2710.20,76803,50180
鹿城区,293,120.94,1401.07,2.24,344.94,1053.91,246.61,116708,882.04,56.58,35.91,88.70,,86782,49796
龙湾区,316,74.81,922.43,3.10,525.84,393.49,472.40,124066,448.85,93.76,54.08,75.12,,78250,
瓯海区,466,100.16,873.49,7.27,340.13,526.09,239.00,88009,407.38,69.15,42.85,71.63,,80687,50231
洞头区,273,15.78,150.04,8.65,51.35,90.04,29.97,95872,73.26,24.29,16.42,47.65,116.46,63785,41881
永嘉县,2677,88.10,564.45,18.67,256.96,288.82,182.01,64325,281.75,66.48,40.87,101.05,917.27,64337,34228
平阳县,1036,87.10,711.81,23.84,335.74,352.24,267.73,81959,301.64,66.75,40.03,97.71,868.45,65787,35097
苍南县,1079,84.85,471.92,31.92,185.09,254.91,101.86,55651,288.91,53.20,32.79,100.80,617.68,61292,33064
文成县,1296,29.22,136.81,10.69,33.73,92.39,14.90,47013,62.10,17.16,11.47,53.98,459.63,52216,26190
泰顺县,1768,26.94,157.60,11.05,60.10,86.44,19.63,58695,71.87,27.35,16.02,61.57,280.34,52696,26603
瑞安市,1342,153.46,1285.13,29.55,564.28,691.30,467.10,83913,622.18,126.56,75.82,141.65,2029.40,82476,45644
乐清市,1396,147.58,1663.53,23.09,740.06,900.38,681.77,113050,648.25,166.14,97.05,128.62,1944.17,81501,48480
龙港市,160,47.16,409.49,9.69,173.07,226.73,156.74,87034,167.34,31.50,20.47,39.23,285.28,68801,38425
南湖区,439,87.76,1001.92,14.97,456.12,530.83,395.62,114506,508.82,89.81,35.80,63.64,,69150,48617
秀洲区,548,71.16,903.92,19.46,465.49,418.96,418.15,127582,167.86,65.95,28.56,50.22,,68742,47793
嘉善县,507,66.44,908.11,23.69,516.48,367.95,479.59,136970,289.61,146.67,84.75,100.08,936.20,76921,50183
海盐县,596,47.09,668.31,20.10,384.88,263.33,360.70,142193,202.74,114.37,65.54,78.16,685.50,78591,50647
海宁市,863,110.68,1318.16,20.75,755.06,542.36,678.23,119345,557.71,174.37,100.13,121.36,1544.74,78874,51411
平湖市,557,69.22,1008.66,16.22,595.06,397.39,556.18,146183,302.23,151.38,88.98,114.22,860.31,78218,50249
桐乡市,727,106.05,1252.35,25.79,605.02,621.54,525.66,118426,484.48,179.08,107.02,142.97,1403.13,73941,49586
