rank,scheme_id,topsis_score,stability,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
444,S0173,0.5145150026572428,0.0,0,0.0,0.0,4.0,709.284520704257,95.12605453917558,0.15771626204537723,863.2142392446661,0.6339466273652714,0.46203971852921727,0.3583613846296186,181.819319195449,3.375
445,S1307,0.5144945062459223,0.0,0,0.0,0.0,4.0,620.8103204484405,82.24645070642964,0.13443904153761577,864.0194009854972,0.6586980244171808,0.4761484651312737,0.32662311024932844,180.6242810016147,3.5
446,S0823,0.5144630022368964,0.0,0,0.0,0.0,4.0,597.0337746889608,81.46110279216259,0.15094829456051123,873.0545880526998,0.6898259632791294,0.4930007191001322,0.3317963659201538,187.3490345522789,3.5
447,S1352,0.51434643202244,0.02,0,0.0,0.0,4.0,764.2762412830992,87.92552199464743,0.16715252340570652,909.1496259069859,0.6688829166560359,0.5218777405482203,0.433623188637433,186.22808652906517,3.4375
448,S1302,0.5143215406378,0.0,0,0.0,0.0,4.0,565.6823279234798,84.2103212624241,0.14667613060969717,861.0972416225859,0.6601350294863915,0.4724871999737534,0.3114990453698503,187.6377007446238,3.5
449,S0551,0.5142721892505081,0.0,0,0.0,0.0,4.0,671.1325655170855,99.35904884724397,0.16481620297856509,855.9904783604578,0.6424485039315588,0.46803879668371606,0.2976388104189645,188.29661058434027,3.4375
450,S1568,0.5142670612741584,0.0,0,0.0,0.0,4.0,849.388485949699,88.54558752110813,0.15811208855042783,870.8135358845042,0.6487443353486878,0.47993826951487006,0.36061544558136344,179.009966327692,3.375
451,S0552,0.5142502047391156,0.0,0,0.0,0.0,4.0,904.6925745011307,101.76897813040917,0.15222496870138338,891.949627961347,0.6610103160803535,0.4963215804010401,0.38023027375845175,176.1457168021888,3.5625
452,S0733,0.514152645025851,0.01,0,0.0,0.0,4.0,905.099990371234,109.46445387907013,0.1834582823053483,887.7657413071033,0.6738814291664272,0.5120776722729494,0.3983537817266972,181.4725474012355,3.5
453,S1953,0.5141112851249537,0.0,0,0.0,0.0,4.0,503.99916222392636,77.57809287076932,0.14174570617300425,851.1603436960802,0.632429424080263,0.4256653726245495,0.30419895907908945,190.54104418638212,3.4375
454,S1060,0.5140904367505698,0.06,0,0.0,0.0,4.0,748.5942823615694,88.50458874118692,0.13223250793057728,861.1432880289764,0.6642973492495684,0.5025670842932735,0.31641824202752905,168.72467016629923,3.25
455,S1736,0.5139844352586193,0.0,0,0.0,0.0,4.0,843.439814826052,91.24121396981982,0.16452281983614958,877.645992170499,0.7021115418304096,0.49624714911977963,0.3443969687415321,180.831498250792,3.4375
456,S1411,0.5139027333547931,0.0,0,0.0,0.0,4.0,701.7118663231778,96.771994760985,0.16329302457461684,885.2656772319891,0.77231183173494,0.5202667534425458,0.3761147045685427,175.56544727463003,3.375
457,S0423,0.5135985716072322,0.0,0,0.0,0.0,4.0,772.8820466078586,93.87535100708462,0.16551191964805784,880.4184981274275,0.6951261266327711,0.5203594592426984,0.36282185569182285,183.8449375693639,3.625
458,S0460,0.5135417954581143,0.0,0,0.0,0.0,4.0,622.5771670653739,92.25641076249758,0.14778925618362693,850.0823919265981,0.6439678452208762,0.45227486223720487,0.31644974817485744,182.36952112931277,3.4375
459,S1484,0.5135089414205501,0.0,0,0.0,0.0,4.0,689.2807327784004,100.41319896929733,0.17070993426730813,866.4564528201431,0.6969429907595827,0.45171469566957917,0.35335988734998247,185.00378599735535,3.4375
460,S0066,0.5134372323783915,0.0,0,0.0,0.0,4.0,651.6449420817403,88.54086800368873,0.1442551441263927,854.6239159094183,0.670591175083233,0.4610004619166028,0.31296411664694457,181.0665736117402,3.5
461,S1457,0.513388471534449,0.0,0,0.0,0.0,4.0,951.4247216962274,109.7410310807017,0.165032288516382,866.1403904013565,0.6245150121417068,0.49995766287984666,0.3453033974920241,173.9238629934949,3.375
462,S0978,0.5133848601388543,0.0,0,0.0,0.0,4.0,695.3679619102041,92.33421200714793,0.15885993974155702,871.8667848962713,0.6408574326009,0.5046152341057075,0.33568428769706865,186.23090222759714,3.4375
463,S0026,0.5132674332898004,0.0,0,0.0,0.0,4.0,805.5158584168197,95.73222744772667,0.16651364993524848,868.0612101832262,0.6652864766143328,0.4767501484274937,0.3204485188070953,187.60747982420793,3.625
464,S0751,0.5131903800026572,0.0,0,0.0,0.0,4.0,903.2833286961992,98.1907188314301,0.18269843163889454,887.5289584037346,0.6920411230011576,0.5403643820129473,0.3719805917674296,183.9206073513436,3.5
465,S1723,0.5130541232305705,0.0,0,0.0,0.0,4.0,883.9230639979537,96.98476023788857,0.15867118066595476,851.2624332850617,0.6067364860232037,0.4533275522687996,0.32989109010384526,180.5820456645173,3.5625
466,S0209,0.5128911085253105,0.0,0,0.0,0.0,4.0,883.9291194313923,108.74114241249686,0.1801563703765205,866.9771374601859,0.6910687424611482,0.47417590160292256,0.3367222630205975,182.19487865744802,3.5
467,S0072,0.5127835678359776,0.0,0,0.0,0.0,4.0,734.3494306376613,97.29955287930088,0.15556107134888417,846.5869172647887,0.6338868406852789,0.45187936381164384,0.2945565249286755,180.79269811126494,3.3125
468,S1405,0.5125295463227593,0.0,0,0.0,0.0,4.0,644.5057715531264,105.02115037579915,0.1518298017924211,842.4641348948032,0.597923711722478,0.4338148919425579,0.31354493135340405,183.46358137460072,3.5
469,S0929,0.5124639321689634,0.0,0,0.0,0.0,4.0,762.2130461981053,102.61185991794864,0.1685917118509136,889.3943984447535,0.7069850891734375,0.5273281797785568,0.39650891446746683,179.86279825071207,3.5
470,S1354,0.5124291221656242,0.01,0,0.0,0.0,4.0,596.1667632377982,87.35374671902474,0.1670209056881239,888.652876233927,0.7139167924131309,0.4819278269026319,0.3845027161358684,192.0086477573381,3.5625
471,S1988,0.5123148159466135,0.0,0,0.0,0.0,4.0,931.4234198379369,102.18528720368869,0.17612015533388534,853.1481606933546,0.6420966302235939,0.4786812825069115,0.33198710894334954,178.89536830028428,3.375
472,S1527,0.5121281247671262,0.0,0,0.0,0.0,4.0,813.7285973830943,105.051365627158,0.16915369881444212,889.7945261122725,0.6841918902943458,0.5093100273151401,0.36672932966555993,182.35804027224134,3.4375
473,S1031,0.5120362325637916,0.0,0,0.0,0.0,4.0,703.3477859430616,91.35212540370577,0.16674415010896387,884.9347034812749,0.7588294847154841,0.5046017269064169,0.36017442853347226,181.026667863434,3.3125
474,S1624,0.5119903031669163,0.0,0,0.0,0.0,4.0,669.3465644624002,92.38330941038141,0.14485037046884378,866.1359318720779,0.646007326398566,0.4476072749424912,0.35708193512152675,177.23752251942977,3.1875
475,S0021,0.5118943027721173,0.0,0,0.0,0.0,4.0,755.9534082566323,92.79285998712737,0.16893805263505846,880.2863158967024,0.705040281963329,0.5101429399334608,0.3549376131238354,186.0945050110732,3.5625
476,S0529,0.5118874787032075,0.0,0,0.0,0.0,4.0,748.3383495205475,89.77502005860795,0.16812246930070462,870.22672005413,0.6685050277306853,0.4841527770889655,0.35979310076218596,186.68558931461033,3.5
477,S0341,0.5118856039831153,0.0,0,0.0,0.0,4.0,763.8708750411715,97.87394769136085,0.17387210478545756,885.50091425209,0.6894498404410492,0.4896453921456843,0.39623626558217795,185.46482494616777,3.5
