pool_id,source_scheme_id,topsis_score,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16
P0021,S1432,0.595377098489,0,0.000000000000,0.000000000000,4.000000000000,581.508129472051,102.675868835063,0.179301121767,856.842039974963,0.646765298377,0.440017519468,0.302626534221,175.189806519209,3.312500000000,杭州市、苍南县、玉环市、开化县,宁波市、安吉县、遂昌县、岱山县,温州市、临海市、庆元县、东阳市,嘉兴市、泰顺县、建德市、江山市,湖州市、瑞安市、青田县、常山县,绍兴市、温岭市、宁海县、义乌市,金华市、龙港市、云和县、龙游县,衢州市、三门县、景宁畲族自治县、永康市,舟山市、永嘉县、缙云县、磐安县,台州市、平阳县、余姚市、兰溪市,丽水市、长兴县、淳安县、浦江县,嘉善县、乐清市、象山县、嵊泗县,海宁市、天台县、桐庐县、诸暨市,海盐县、德清县、松阳县、新昌县,桐乡市、文成县、慈溪市、嵊州市,平湖市、仙居县、龙泉市、武义县
P0022,S1182,0.592566116421,0,0.000000000000,0.000000000000,4.000000000000,664.250489644923,83.893646375248,0.187174730707,912.329670703669,0.683448372218,0.519018593251,0.407051973929,179.892908729889,3.312500000000,杭州市、泰顺县、义乌市、江山市,宁波市、长兴县、永康市、新昌县,温州市、桐乡市、兰溪市、诸暨市,嘉兴市、永嘉县、常山县、温岭市,湖州市、嘉善县、龙港市、天台县,绍兴市、云和县、东阳市、玉环市,金华市、庆元县、龙游县、岱山县,衢州市、安吉县、武义县、建德市,舟山市、龙泉市、慈溪市、三门县,台州市、瑞安市、宁海县、桐庐县,丽水市、海宁市、余姚市、淳安县,遂昌县、平湖市、苍南县、嵊泗县,青田县、平阳县、磐安县、临海市,缙云县、海盐县、象山县、嵊州市,景宁畲族自治县、文成县、浦江县、开化县,松阳县、德清县、乐清市、仙居县
P0023,S1363,0.592383820891,0,0.000000000000,0.000000000000,4.000000000000,658.932117922719,87.927571973060,0.170040959594,841.295864035574,0.570510006595,0.406932422375,0.321879520356,170.376321492686,3.187500000000,杭州市、嵊泗县、东阳市、新昌县,宁波市、龙泉市、平阳县、仙居县,温州市、缙云县、龙游县、三门县,嘉兴市、景宁畲族自治县、浦江县、天台县,湖州市、海盐县、武义县、江山市,绍兴市、遂昌县、永嘉县、玉环市,金华市、德清县、龙港市、开化县,衢州市、岱山县、文成县、临海市,舟山市、长兴县、兰溪市、瑞安市,台州市、云和县、永康市、常山县,丽水市、桐乡市、磐安县、桐庐县,慈溪市、嘉善县、乐清市、诸暨市,余姚市、庆元县、泰顺县、温岭市,象山县、松阳县、苍南县、嵊州市,宁海县、海宁市、青田县、淳安县,安吉县、平湖市、义乌市、建德市
P0024,S1366,0.592066170458,0,0.000000000000,0.000000000000,4.000000000000,706.833559336206,97.473522048711,0.194833733513,871.951588574431,0.679592458062,0.460302321521,0.380247902758,173.509390001232,3.312500000000,杭州市、平湖市、长兴县、岱山县,宁波市、温岭市、松阳县、嵊州市,温州市、临海市、景宁畲族自治县、常山县,嘉兴市、永康市、遂昌县、诸暨市,湖州市、天台县、嘉善县、龙游县,绍兴市、淳安县、海宁市、泰顺县,金华市、慈溪市、龙港市、开化县,衢州市、仙居县、桐乡市、新昌县,舟山市、兰溪市、龙泉市、乐清市,台州市、桐庐县、云和县、文成县,丽水市、宁海县、德清县、嵊泗县,武义县、余姚市、缙云县、瑞安市,义乌市、象山县、安吉县、江山市,东阳市、三门县、庆元县、苍南县,浦江县、建德市、海盐县、永嘉县,磐安县、玉环市、青田县、平阳县
P0025,S0245,0.591728081052,0,0.000000000000,0.000000000000,4.000000000000,653.625514791778,86.365716776838,0.173981755145,829.738197954758,0.567718030923,0.408721934285,0.249292044137,177.438864344995,3.375000000000,杭州市、瑞安市、东阳市、温岭市,宁波市、武义县、景宁畲族自治县、玉环市,温州市、磐安县、龙泉市、仙居县,嘉兴市、泰顺县、义乌市、安吉县,湖州市、永康市、遂昌县、三门县,绍兴市、龙港市、松阳县、龙游县,金华市、嵊州市、青田县、临海市,衢州市、永嘉县、海盐县、天台县,舟山市、平阳县、桐乡市、长兴县,台州市、乐清市、庆元县、岱山县,丽水市、文成县、海宁市、嵊泗县,余姚市、桐庐县、平湖市、德清县,象山县、建德市、浦江县、云和县,慈溪市、诸暨市、兰溪市、江山市,宁海县、新昌县、嘉善县、常山县,苍南县、淳安县、缙云县、开化县
P0026,S1558,0.591237073932,0,0.000000000000,0.000000000000,4.000000000000,588.053013056157,80.701277570105,0.173069865109,863.261769305719,0.617816539402,0.454474180093,0.330508453440,182.431410479114,3.500000000000,杭州市、乐清市、遂昌县、永康市,宁波市、新昌县、仙居县、岱山县,温州市、开化县、象山县、武义县,嘉兴市、文成县、云和县、东阳市,湖州市、永嘉县、余姚市、青田县,绍兴市、泰顺县、景宁畲族自治县、安吉县,金华市、瑞安市、三门县、长兴县,衢州市、嵊州市、天台县、桐庐县,舟山市、慈溪市、庆元县、兰溪市,台州市、江山市、缙云县、磐安县,丽水市、常山县、临海市、嵊泗县,海宁市、龙港市、宁海县、建德市,桐乡市、平阳县、松阳县、义乌市,平湖市、诸暨市、玉环市、淳安县,海盐县、龙游县、龙泉市、浦江县,嘉善县、苍南县、温岭市、德清县
P0027,S1052,0.590537336168,0,0.000000000000,0.000000000000,4.000000000000,573.285823709671,83.397629040551,0.159126712539,845.291309058091,0.594896022591,0.412492332668,0.293167885752,177.219597870127,3.500000000000,杭州市、浦江县、江山市、龙泉市,宁波市、三门县、苍南县、长兴县,温州市、磐安县、龙游县、云和县,嘉兴市、永嘉县、新昌县、缙云县,湖州市、桐乡市、泰顺县、象山县,绍兴市、临海市、嵊泗县、松阳县,金华市、海宁市、开化县、余姚市,衢州市、义乌市、诸暨市、安吉县,舟山市、温岭市、平阳县、景宁畲族自治县,台州市、东阳市、文成县、岱山县,丽水市、兰溪市、瑞安市、德清县,天台县、平湖市、龙港市、宁海县,建德市、海盐县、嵊州市、慈溪市,淳安县、武义县、乐清市、青田县,玉环市、永康市、嘉善县、遂昌县,桐庐县、仙居县、常山县、庆元县
P0028,S0619,0.590010698795,0,0.000000000000,0.000000000000,4.000000000000,427.427791615691,86.557928320133,0.170720843080,856.599578781054,0.605843365243,0.413804446906,0.316085069522,188.776204085565,3.812500000000,杭州市、松阳县、文成县、常山县,宁波市、临海市、东阳市、德清县,温州市、遂昌县、浦江县、江山市,嘉兴市、缙云县、乐清市、岱山县,湖州市、云和县、嘉善县、建德市,绍兴市、泰顺县、兰溪市、平湖市,金华市、新昌县、苍南县、安吉县,衢州市、平阳县、慈溪市、桐乡市,舟山市、龙港市、永康市、淳安县,台州市、嵊州市、武义县、海盐县,丽水市、永嘉县、宁海县、长兴县,玉环市、诸暨市、磐安县、桐庐县,温岭市、龙泉市、瑞安市、嵊泗县,仙居县、景宁畲族自治县、余姚市、龙游县,天台县、庆元县、象山县、开化县,三门县、青田县、义乌市、海宁市
P0029,S0741,0.589830823904,0,0.000000000000,0.000000000000,4.000000000000,442.127235665062,77.113486409213,0.169762180615,845.117513363511,0.611808082190,0.426861978167,0.296088503964,181.679433125222,3.312500000000,杭州市、平阳县、海盐县、龙泉市,宁波市、义乌市、临海市、云和县,温州市、常山县、新昌县、仙居县,嘉兴市、瑞安市、诸暨市、景宁畲族自治县,湖州市、永康市、淳安县、遂昌县,绍兴市、龙港市、平湖市、长兴县,金华市、江山市、余姚市、松阳县,衢州市、乐清市、慈溪市、温岭市,舟山市、武义县、海宁市、德清县,台州市、苍南县、宁海县、缙云县,丽水市、永嘉县、桐乡市、安吉县,兰溪市、泰顺县、嵊州市、玉环市,磐安县、龙游县、桐庐县、庆元县,岱山县、文成县、建德市、三门县,浦江县、开化县、嘉善县、青田县,嵊泗县、东阳市、象山县、天台县
P0030,S1341,0.588187691872,0,0.000000000000,0.000000000000,4.000000000000,577.497311111489,91.355468945471,0.181588303239,865.081988014651,0.675006885229,0.459325549221,0.343320651332,177.143999675934,3.312500000000,杭州市、乐清市、松阳县、东阳市,宁波市、泰顺县、遂昌县、义乌市,温州市、诸暨市、云和县、龙游县,嘉兴市、建德市、青田县、兰溪市,湖州市、嵊州市、慈溪市、磐安县,绍兴市、嵊泗县、三门县、常山县,金华市、平阳县、玉环市、开化县,衢州市、永嘉县、缙云县、浦江县,舟山市、桐庐县、庆元县、象山县,台州市、淳安县、余姚市、德清县,丽水市、岱山县、临海市、永康市,桐乡市、苍南县、景宁畲族自治县、武义县,平湖市、瑞安市、温岭市、江山市,嘉善县、龙港市、天台县、宁海县,海盐县、新昌县、龙泉市、安吉县,海宁市、文成县、仙居县、长兴县
